id,region,priority
98767991299243165,NORTH AMERICA,1
109511549831443335,NORTH AMERICA,1000
109518549825754242,NORTH AMERICA,1000
107898214974993351,NORTH AMERICA,1000
98767991332355509,BRAZIL,204
98767991310872058,KOREA,4
98767991355908944,COMMONWEALTH OF INDEPENDENT STATES,209
105709090213554609,OCEANIA,207
98767991302996019,EMEA,3
98767991349978712,JAPAN,208
101382741235120470,LATIN AMERICA,206
98767991314006698,CHINA,201
104366947889790212,"HONG KONG, MACAU, TAIWAN",1000
98767991343597634,EMEA,203
107213827295848783,VIETNAM,1000
98767991325878492,INTERNATIONAL,301
98767975604431411,INTERNATIONAL,300
98767991295297326,INTERNATIONAL,302
100695891328981122,EMEA,1000
105266103462388553,EMEA,1000
105266098308571975,EMEA,1000
107407335299756365,EMEA,1000
105266101075764040,EMEA,1000
105266094998946936,EMEA,1000
105266088231437431,EMEA,1000
105266074488398661,EMEA,1000
105266091639104326,EMEA,1000
105266106309666619,EMEA,1000
105266111679554379,EMEA,1000
105266108767593290,EMEA,1000
109545772895506419,EMEA,1000
108203770023880322,KOREA,1000
106827757669296909,JAPAN,1000
98767991335774713,KOREA,1000
105549980953490846,BRAZIL,1000
110371976858004491,LATIN AMERICA NORTH,1000
110372322609949919,LATIN AMERICA SOUTH,1000
108001239847565215,INTERNATIONAL,1000
